,date,sun,moon,mercury,venus,mars,jupiter,saturn,uranus,neptune
2000-01-17,2000-01-17,3.642037137623906e+22,2.2195925474913246e+20,2910800634809405.5,5.6866331422521496e+16,3055862092367461.5,1.42755952700693e+18,1.2794435207316438e+17,3553952998597006.5,1877887813364287.0
2000-01-18,2000-01-18,3.6415711687950117e+22,2.277175782918315e+20,2929374789147171.5,5.631487276841822e+16,3038775440076584.0,1.4181918414836436e+18,1.2748102583479765e+17,3551982779889010.0,1877624804199927.2
2000-01-19,2000-01-19,3.641060468076551e+22,2.3172582341002615e+20,2950869224832277.0,5.577387295912744e+16,3021831926668859.5,1.408918639261515e+18,1.2701836816141141e+17,3550106095369665.5,1877396790217420.0
2000-01-20,2000-01-20,3.640503351529818e+22,2.333123341955758e+20,2975457668583734.0,5.5243078567300904e+16,3005029270074751.5,1.3997407450674747e+18,1.2655652778251374e+17,3548323054859766.5,1877203767568133.8
2000-01-21,2000-01-21,3.6398988097886225e+22,2.3211831201922502e+20,3003340527897607.0,5.472225296451885e+16,2988365309882672.5,1.3906588555930358e+18,1.2609564700425864e+17,3546633780204947.5,1877045737682511.2
2000-01-22,2000-01-22,3.639246656292037e+22,2.282329505909844e+20,3034748107074765.0,5.4211175136489816e+16,2971838126104874.0,1.3816735696510477e+18,1.2563586285581626e+17,3545038417706673.5,1876922710734184.2
2000-01-23,2000-01-23,3.638547548017178e+22,2.2217622626622076e+20,3069944266862880.5,5.370963717139492e+16,2955446124753659.5,1.3727854200779715e+18,1.2517730851668138e+17,3543537144244315.0,1876834706589770.2
2000-01-24,2000-01-24,3.6378028763604746e+22,2.1473803044076457e+20,3109230585406467.5,5.321744099019512e+16,2939188069740954.0,1.3639949005447982e+18,1.2472011467689587e+17,3542130165815757.0,1876781753083612.2
2000-01-25,2000-01-25,3.6370145701436313e+22,2.0676344674930662e+20,3152951105167503.5,5.273439511808433e+16,2923063060083745.0,1.355302482560763e+18,1.2426441053002877e+17,3540817709840957.0,1876763882359390.0
2000-01-26,2000-01-26,3.6361848741928576e+22,1.9898200831659213e+20,3201497767977350.5,5.226031216057655e+16,2907070469155467.0,1.346708621830557e+18,1.2381032426795578e+17,3539600014317365.0,1876781126503990.8
2000-01-27,2000-01-27,3.635316158178233e+22,1.9192565512142478e+20,3255316641876844.5,5.1795007269122376e+16,2891209870109750.5,1.3382137565412017e+18,1.233579831332175e+17,3538477317044743.0,1876833513584804.8
2000-01-28,2000-01-28,3.6344107826857392e+22,1.859237996011036e+20,3314915030412600.5,5.133829749804945e+16,2875480967483690.5,1.329818301574636e+18,1.2290751319465918e+17,3537449846973358.5,1876921064687854.0
2000-01-29,2000-01-29,3.6334710218370385e+22,1.81139838223767e+20,3380869533358934.5,5.089000174694143e+16,2859883544932184.0,1.3215226420489436e+18,1.22459039018688e+17,3536517818237742.0,1877043792011543.2
