time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-05T13:49:24.200Z,-30.9952,-178.6062,101.89,4.9,mb,,62,1.84,1.23,us,us1000i2s6,2018-12-05T14:10:53.040Z,"56km NNE of L'Esperance Rock, New Zealand",earthquake,9.7,7.8,0.054,107,reviewed,us,us
2018-12-05T13:09:40.160Z,9.4638,126.36,35,4.6,mb,,95,2.501,0.73,us,us1000i2rr,2018-12-05T13:37:22.040Z,"27km NE of Cortes, Philippines",earthquake,9.1,2,0.075,54,reviewed,us,us
2018-12-05T12:48:44.247Z,61.3277,-150.0534,38.1,4.5,ml,,,,0.6,ak,ak20444588,2018-12-06T08:37:57.557Z,"13km NW of Anchorage, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2018-12-05T12:09:01.270Z,36.2949,141.9999,19.16,4.5,mwr,,130,1.845,0.78,us,us1000i2qk,2018-12-05T12:30:35.040Z,"122km ENE of Hasaki, Japan",earthquake,2.3,5.4,0.078,16,reviewed,us,us
2018-12-05T11:39:06.780Z,-22.1388,169.3632,10,4.9,mb,,117,2.7,0.34,us,us1000i2qm,2018-12-05T12:42:06.040Z,"166km ESE of Tadine, New Caledonia",earthquake,4.8,1.9,0.079,51,reviewed,us,us
2018-12-05T11:12:01.330Z,-22.5949,169.8978,10,4.7,mb,,122,3.198,0.7,us,us1000i2qb,2018-12-05T12:06:28.040Z,"222km W of Ile Hunter, New Caledonia",earthquake,7.3,1.9,0.106,27,reviewed,us,us
2018-12-05T10:54:29.610Z,-18.1319,-174.7956,239.27,4.8,mb,,83,4.711,0.92,us,us1000i2pu,2018-12-05T11:33:08.040Z,"103km NW of Neiafu, Tonga",earthquake,11.6,12.2,0.065,72,reviewed,us,us
2018-12-05T10:42:21.380Z,-22.334,169.2658,10,4.9,mb,,99,2.603,0.94,us,us1000i2pr,2018-12-05T11:12:22.040Z,"167km ESE of Tadine, New Caledonia",earthquake,6.7,1.9,0.07,65,reviewed,us,us
2018-12-05T10:23:42.310Z,-22.5405,169.336,10,4.8,mb,,119,2.676,0.55,us,us1000i2p9,2018-12-05T11:48:16.040Z,"185km SE of Tadine, New Caledonia",earthquake,9.7,1.8,0.115,23,reviewed,us,us
2018-12-05T10:21:28.370Z,-60.5904,-26.6825,10,4.8,mb,,121,14.566,0.51,us,us1000i2p7,2018-12-05T11:04:23.040Z,"173km S of Bristol Island, South Sandwich Islands",earthquake,13.2,1.9,0.084,44,reviewed,us,us
2018-12-05T10:19:09.560Z,-22.2761,169.5863,10,5.1,mb,,113,2.901,0.6,us,us1000i2pa,2018-12-05T10:49:01.040Z,"193km ESE of Tadine, New Caledonia",earthquake,6.6,1.9,0.06,89,reviewed,us,us
2018-12-05T10:14:29.440Z,-22.1579,169.4158,10,5.2,mb,,107,17.931,0.68,us,us1000i2p3,2018-12-05T10:39:08.040Z,"172km ESE of Tadine, New Caledonia",earthquake,7.1,1.8,0.064,80,reviewed,us,us
2018-12-05T10:13:38.050Z,-22.1019,169.3869,10,5.1,mb,,110,2.725,0.77,us,us1000i2nv,2018-12-05T10:30:23.040Z,"167km ESE of Tadine, New Caledonia",earthquake,12.1,1.9,0.054,111,reviewed,us,us
2018-12-05T09:38:51.740Z,-24.2799,179.9335,507.99,4.6,mb,,58,5.301,0.58,us,us1000i2n5,2018-12-05T09:58:35.040Z,"South of the Fiji Islands",earthquake,9.9,7.7,0.044,156,reviewed,us,us
2018-12-05T09:33:01.510Z,10.4864,-68.5901,10,4.7,mb,,39,1.625,0.83,us,us1000i2ms,2018-12-05T13:57:42.561Z,"3km WNW of Farriar, Venezuela",earthquake,4.8,1.9,0.064,73,reviewed,us,us
2018-12-05T08:32:40.440Z,-21.7283,168.6176,10,5.2,mb,,91,2.047,0.83,us,us1000i2ls,2018-12-05T08:51:53.040Z,"78km ESE of Tadine, New Caledonia",earthquake,9.1,1.9,0.054,114,reviewed,us,us
2018-12-05T08:20:32.570Z,-22.0923,169.4208,10,5.2,mb,,96,2.757,0.95,us,us1000i2lf,2018-12-05T08:44:14.040Z,"169km ESE of Tadine, New Caledonia",earthquake,3.6,1.8,0.064,80,reviewed,us,us
2018-12-05T08:13:53.560Z,4.3611,126.1651,75.93,5.1,mb,,73,2.753,0.93,us,us1000i2l9,2018-12-05T08:33:55.040Z,"139km SE of Sarangani, Philippines",earthquake,7.4,7,0.061,87,reviewed,us,us
2018-12-05T08:09:31.400Z,-21.9388,169.2545,10,5.2,mb,,58,2.611,0.48,us,us1000i2lc,2018-12-05T08:42:40.040Z,"148km ESE of Tadine, New Caledonia",earthquake,13.1,1.8,0.062,85,reviewed,us,us
2018-12-05T08:08:23.680Z,-22.0643,169.2487,10,5,mb,,111,2.601,0.88,us,us1000i2la,2018-12-05T08:35:50.040Z,"152km ESE of Tadine, New Caledonia",earthquake,11.9,1.9,0.069,67,reviewed,us,us
2018-12-05T08:01:28.670Z,-22.1523,169.2019,10,5.2,mb,,90,2.55,1.18,us,us1000i2l0,2018-12-05T08:21:37.040Z,"151km ESE of Tadine, New Caledonia",earthquake,3.6,1.9,0.055,107,reviewed,us,us
2018-12-05T07:46:41.910Z,-21.6582,168.8313,10,5.2,mb,,49,2.255,1.01,us,us1000i2kr,2018-12-05T08:07:31.040Z,"98km E of Tadine, New Caledonia",earthquake,10.4,1.8,0.059,94,reviewed,us,us
