date,sun,moon,mercury,venus,mars,jupiter,saturn,uranus,neptune
2016-01-01,0.9833511561372383,0.002686108489497113,0.9208260894762864,1.1662423077880775,1.6838809897693827,5.0487550650545385,10.86050526454839,19.836525623140403,30.476140290048033
2016-01-02,0.983343708187427,0.002701717112111945,0.8946657085740385,1.1725868506761727,1.674125305925226,5.033508046144382,10.852329958119556,19.853642282642774,30.490704387880175
2016-01-03,0.9833414166350903,0.0027085160498289134,0.8686461846875396,1.1789025412727936,1.6643407800157028,5.018343940484727,10.843924033886651,19.87078961160788,30.505106200689134
2016-01-04,0.9833440545894352,0.002706401104665784,0.8430016005451246,1.1851890645893808,1.6545280713653592,5.003267754060815,10.835289198940842,19.887962299950342,30.519341342265832
2016-01-05,0.9833513956551789,0.0026959441593058017,0.817995653860162,1.1914461319536735,1.6446878884919838,4.9882845595928496,10.82642725135258,19.90515498844639,30.533405441252405
2016-01-06,0.9833632159272744,0.0026783154580829636,0.7939181146826965,1.1976734833253302,1.6348209921654997,4.973399494350185,10.81734008569171,19.922362268516697,30.547294144345702
2016-01-07,0.9833792982025638,0.0026551632087057583,0.7710786689047926,1.2038708922280614,1.6249282003625272,4.958617757881016,10.808029701160914,19.939578680932037,30.561003120162564
2016-01-08,0.9833994394803083,0.0026284541650560076,0.7497978912787974,1.2100381734045234,1.6150103940632525,4.943944607721268,10.79849821245391,19.95679871501126,30.5745280657484
2016-01-09,0.9834234622361478,0.0026002776580999172,0.7303953756576451,1.2161751924884516,1.6050685219687484,4.929385350739633,10.78874786236296,19.974016810665663,30.58786471781622
2016-01-10,0.9834512289041809,0.0025726236822893656,0.7131754574685325,1.222281875967671,1.5951036015221864,4.914945327957762,10.77878103383854,19.991227366030422,30.60100887024979
2016-01-11,0.9834826576484421,0.0025471643379463243,0.6984114612603778,1.2283582188141924,1.5851167135480797,4.9006298917811755,10.76860025809491,20.008424752956714,30.61395639799117
2016-01-12,0.9835177363284849,0.0025250859510878784,0.686329911010277,1.2344042868913365,1.57510898876363,4.886444376570894,10.75820821510875,20.02560334106973,30.62670328535881
2016-01-13,0.983556531193959,0.0025070189116054155,0.6770965160521092,1.240420211982485,1.5650815863165037,4.872394065781381,10.747607723931745,20.042757528739262,30.63924565483591
2016-01-14,0.983599187671999,0.0024930884188660127,0.6708058295610377,1.246406178969319,1.5550356667598952,4.858484160519514,10.736801722510549,20.05988177702414,30.651579791371606
2016-01-15,0.9836459224458198,0.002483070183987749,0.6674761481259339,1.252362406691326,1.5449723635182366,4.844719754496916,10.725793239336962,20.076970641485698,30.66370215786199
2016-01-16,0.9836970080981725,0.002476602125937386,0.6670504776162137,1.2582891254666044,1.5348927571744588,4.831105818830068,10.714585361105756,20.094018797286594,30.675609399531165
2016-01-17,0.9837527529909922,0.002473389953946732,0.6694033907767681,1.2641865545713644,1.5247978558216584,4.817647197768572,10.70318120091833,20.11102105483479,30.68729833742606
2016-01-18,0.9838134792947621,0.002473352498317657,0.6743526249764484,1.2700548821882183,1.514688582926213,4.8043486142968845,10.691583870533476,20.127972365443405,30.69876595309683
2016-01-19,0.9838795013996164,0.0024766726746292284,0.6816735975832239,1.2758942491426848,1.5045657726874728,4.791214683518425,10.679796458636226,20.144867817965206,30.71000936714246
2016-01-20,0.983951106058768,0.002483743144427942,0.6911148126123001,1.281704736865461,1.4944301722115558,4.778249931676465,10.667822015938576,20.16170262787178,30.721025814017114
2016-01-21,0.9840285351533133,0.0024950188327159486,0.7024123769870584,1.2874863597853785,1.4842824498244855,4.765458818969524,10.655663547505565,20.178472120156435,30.731812615049144
2016-01-22,0.9841119720202881,0.002510811442448695,0.715302378205476,1.293239062494442,1.474123208884388,4.75284576429417,10.643324012623086,20.195171707485454,30.74236715160569
2016-01-23,0.9842015324441173,0.0025310802295704414,0.7295304915530908,1.2989627220096531,1.4639530060716819,4.740415169620728,10.630806332193346,20.211796865510944,30.752686840658292
2016-01-24,0.9842972611901691,0.002555279237248532,0.7448587195065286,1.3046571549688493,1.4537723723909537,4.728171441327336,10.618113402786935,20.228343107926918,30.76276911514764
2016-01-25,0.9843991342099526,0.0025823059697491456,0.7610695350313493,1.3103221287703437,1.4435818344799578,4.716119006026061,10.605248115382235,20.244805964127643,30.772611411042522
2016-01-26,0.9845070656386925,0.002610563475518733,0.777967894967123,1.3159573749096423,1.4333819337400806,4.704262319363387,10.592213376032698,20.261180961861058,30.782211161836386
2016-01-27,0.9846209178797294,0.002638113081178441,0.7953816450357262,1.3215626024610625,1.4231732414111384,4.692605867665732,10.579012125627436,20.277463616143475,30.791565799830025
2016-01-28,0.9847405127274342,0.002662876242285555,0.8131608038773374,1.3271375098924252,1.4129563687545736,4.68115416360967,10.565647356550588,20.293649424348136,30.800672762425783
2016-01-29,0.9848656416655464,0.002682846473416061,0.8311761344620391,1.3326817940417517,1.4027319726187228,4.669911737940319,10.552122125120219,20.309733866235746,30.8095295011145
2016-01-30,0.9849960740531845,0.002696286378580043,0.8493173189084231,1.3381951558967062,1.392500757532256,4.658883129490363,10.538439559840695,20.325712407029812,30.81813349091957
2016-01-31,0.9851315626737553,0.0027018965827890432,0.8674909657606148,1.343677303575179,1.382263475936223,4.6480728754139315,10.524602866435988,20.3415805015362,30.826482238647404
2016-02-01,0.9852718468697924,0.002698947512478028,0.8856186057033462,1.3491279534575642,1.372020928189056,4.637485502824611,10.510615331165573,20.35733359768827,30.834573289151447
